variant,frames,stored_bytes,compressed_bytes,pct_of_raw,encode_ms_per_frame,decode_ms_per_frame,codec,level,slices,threads,total_ms_per_frame,wire_bytes_per_frame,wire_mbps_at_60fps,wire_MB_per_s,fits_30fps_decode,fits_60fps_decode,fits_1gbe
raw,48,298640448,148359055,49.6851,16.04,4.62,zstd,3,1,1,20.66,3090814,1483.6,185.4,yes,yes,no
ycocg-r+med+planar,48,298640448,81752498,27.3787,36.16,27.28,zstd,3,1,1,63.44,1703177,817.5,102.2,yes,no,yes
delta,48,298640448,42520301,14.2400,6.12,2.04,zstd,3,1,1,8.16,885840,425.2,53.2,yes,yes,yes
delta+ycocg-r+med+planar,48,298640448,31985794,10.7120,23.28,20.20,zstd,3,1,1,43.48,666371,319.9,40.0,yes,no,yes
slice10,48,298640448,150560329,50.4223,15.30,4.54,zstd,3,10,1,19.84,3136674,1505.6,188.2,yes,yes,no
ycocg-r+med+planar+slice10,48,298640448,81336554,27.2394,35.47,27.12,zstd,3,10,1,62.59,1694512,813.4,101.7,yes,no,yes
delta+slice10,48,298640448,42815012,14.3387,5.74,2.16,zstd,3,10,1,7.90,891979,428.2,53.5,yes,yes,yes
delta+ycocg-r+med+planar+slice10,48,298640448,31612034,10.5868,22.72,19.86,zstd,3,10,1,42.58,658584,316.1,39.5,yes,no,yes
slice20,48,298640448,152825108,51.1808,14.88,4.61,zstd,3,20,1,19.49,3183856,1528.3,191.0,yes,yes,no
ycocg-r+med+planar+slice20,48,298640448,81339028,27.2403,35.34,27.37,zstd,3,20,1,62.71,1694563,813.4,101.7,yes,no,yes
delta+slice20,48,298640448,43117173,14.4399,5.76,2.32,zstd,3,20,1,8.08,898274,431.2,53.9,yes,yes,yes
delta+ycocg-r+med+planar+slice20,48,298640448,31502205,10.5500,22.94,20.95,zstd,3,20,1,43.89,656296,315.0,39.4,yes,no,yes
slice40,48,298640448,154220163,51.6480,16.39,5.31,zstd,3,40,1,21.70,3212920,1542.2,192.8,yes,yes,no
ycocg-r+med+planar+slice40,48,298640448,84959851,28.4529,38.65,28.92,zstd,3,40,1,67.57,1769997,849.6,106.2,yes,no,yes
delta+slice40,48,298640448,44023778,14.7435,6.46,2.79,zstd,3,40,1,9.25,917162,440.2,55.0,yes,yes,yes
delta+ycocg-r+med+planar+slice40,48,298640448,32977932,11.0442,23.50,20.71,zstd,3,40,1,44.21,687040,329.8,41.2,yes,no,yes
slice10,48,298640448,150560329,50.4223,3.61,0.87,zstd,3,10,10,4.48,3136674,1505.6,188.2,yes,yes,no
ycocg-r+med+planar+slice10,48,298640448,81336554,27.2394,6.53,4.69,zstd,3,10,10,11.22,1694512,813.4,101.7,yes,yes,yes
delta+slice10,48,298640448,42815012,14.3387,1.62,0.46,zstd,3,10,10,2.08,891979,428.2,53.5,yes,yes,yes
delta+ycocg-r+med+planar+slice10,48,298640448,31612034,10.5868,4.59,3.45,zstd,3,10,10,8.04,658584,316.1,39.5,yes,yes,yes
slice20,48,298640448,152825108,51.1808,3.24,0.82,zstd,3,20,20,4.06,3183856,1528.3,191.0,yes,yes,no
ycocg-r+med+planar+slice20,48,298640448,81339028,27.2403,6.49,4.61,zstd,3,20,20,11.10,1694563,813.4,101.7,yes,yes,yes
delta+slice20,48,298640448,43117173,14.4399,1.30,0.42,zstd,3,20,20,1.72,898274,431.2,53.9,yes,yes,yes
delta+ycocg-r+med+planar+slice20,48,298640448,31502205,10.5500,4.16,3.37,zstd,3,20,20,7.53,656296,315.0,39.4,yes,yes,yes
slice40,48,298640448,154220163,51.6480,2.74,0.79,zstd,3,40,20,3.53,3212920,1542.2,192.8,yes,yes,no
ycocg-r+med+planar+slice40,48,298640448,84959851,28.4529,5.97,4.51,zstd,3,40,20,10.48,1769997,849.6,106.2,yes,yes,yes
delta+slice40,48,298640448,44023778,14.7435,1.17,0.44,zstd,3,40,20,1.61,917162,440.2,55.0,yes,yes,yes
delta+ycocg-r+med+planar+slice40,48,298640448,32977932,11.0442,3.71,3.25,zstd,3,40,20,6.96,687040,329.8,41.2,yes,yes,yes
